codigo_tuss,descricao,grupo,subgrupo,capitulo,vigencia_inicio,vigencia_fim
000024,TERAPIAS 0024,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000025,CIRURGIAS 0025,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000026,INTERNACOES 0026,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000027,OBSTETRICIA 0027,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000028,ODONTOLOGIA 0028,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000029,CONSULTAS 0029,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000030,EXAMES 0030,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000031,TERAPIAS 0031,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000032,CIRURGIAS 0032,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000033,INTERNACOES 0033,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000034,OBSTETRICIA 0034,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000035,ODONTOLOGIA 0035,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000036,CONSULTAS 0036,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000037,EXAMES 0037,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000038,TERAPIAS 0038,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000039,CIRURGIAS 0039,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
000040,INTERNACOES 0040,INTERNACOES,HOSPITALAR 5,Hospitalar,2024-01-01,
000041,OBSTETRICIA 0041,OBSTETRICIA,PARTO 6,Materno-infantil,2024-01-01,
000042,ODONTOLOGIA 0042,ODONTOLOGIA,ODONTO 7,Odontologico,2024-01-01,
000043,CONSULTAS 0043,CONSULTAS,ATENDIMENTO 8,Atendimento,2024-01-01,
000044,EXAMES 0044,EXAMES,DIAGNOSTICO 9,Diagnostico,2024-01-01,
000045,TERAPIAS 0045,TERAPIAS,REABILITACAO 1,Terapia,2024-01-01,
000046,CIRURGIAS 0046,CIRURGIAS,PROCEDIMENTOS 2,Procedimento,2024-01-01,
000047,INTERNACOES 0047,INTERNACOES,HOSPITALAR 3,Hospitalar,2024-01-01,
000048,OBSTETRICIA 0048,OBSTETRICIA,PARTO 4,Materno-infantil,2024-01-01,
000049,ODONTOLOGIA 0049,ODONTOLOGIA,ODONTO 5,Odontologico,2024-01-01,
000050,CONSULTAS 0050,CONSULTAS,ATENDIMENTO 6,Atendimento,2024-01-01,
000051,EXAMES 0051,EXAMES,DIAGNOSTICO 7,Diagnostico,2024-01-01,
000052,TERAPIAS 0052,TERAPIAS,REABILITACAO 8,Terapia,2024-01-01,
000053,CIRURGIAS 0053,CIRURGIAS,PROCEDIMENTOS 9,Procedimento,2024-01-01,
000054,INTERNACOES 0054,INTERNACOES,HOSPITALAR 1,Hospitalar,2024-01-01,
000055,OBSTETRICIA 0055,OBSTETRICIA,PARTO 2,Materno-infantil,2024-01-01,
000056,ODONTOLOGIA 0056,ODONTOLOGIA,ODONTO 3,Odontologico,2024-01-01,
000057,CONSULTAS 0057,CONSULTAS,ATENDIMENTO 4,Atendimento,2024-01-01,
000058,EXAMES 0058,EXAMES,DIAGNOSTICO 5,Diagnostico,2024-01-01,
000059,TERAPIAS 0059,TERAPIAS,REABILITACAO 6,Terapia,2024-01-01,
000060,CIRURGIAS 0060,CIRURGIAS,PROCEDIMENTOS 7,Procedimento,2024-01-01,
000061,INTERNACOES 0061,INTERNACOES,HOSPITALAR 8,Hospitalar,2024-01-01,
000062,OBSTETRICIA 0062,OBSTETRICIA,PARTO 9,Materno-infantil,2024-01-01,
000063,ODONTOLOGIA 0063,ODONTOLOGIA,ODONTO 1,Odontologico,2024-01-01,
000064,CONSULTAS 0064,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000065,EXAMES 0065,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000066,TERAPIAS 0066,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000067,CIRURGIAS 0067,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000068,INTERNACOES 0068,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000069,OBSTETRICIA 0069,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000070,ODONTOLOGIA 0070,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000071,CONSULTAS 0071,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000072,EXAMES 0072,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000073,TERAPIAS 0073,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000074,CIRURGIAS 0074,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000075,INTERNACOES 0075,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000076,OBSTETRICIA 0076,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000077,ODONTOLOGIA 0077,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000078,CONSULTAS 0078,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000079,EXAMES 0079,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000080,TERAPIAS 0080,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000081,CIRURGIAS 0081,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000082,INTERNACOES 0082,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000083,OBSTETRICIA 0083,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000084,ODONTOLOGIA 0084,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000085,CONSULTAS 0085,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000086,EXAMES 0086,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000087,TERAPIAS 0087,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000088,CIRURGIAS 0088,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000089,INTERNACOES 0089,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000090,OBSTETRICIA 0090,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000091,ODONTOLOGIA 0091,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000092,CONSULTAS 0092,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000093,EXAMES 0093,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000094,TERAPIAS 0094,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000095,CIRURGIAS 0095,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000096,INTERNACOES 0096,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000097,OBSTETRICIA 0097,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000098,ODONTOLOGIA 0098,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000099,CONSULTAS 0099,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000100,EXAMES 0100,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000101,TERAPIAS 0101,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000102,CIRURGIAS 0102,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
000103,INTERNACOES 0103,INTERNACOES,HOSPITALAR 5,Hospitalar,2024-01-01,
000104,OBSTETRICIA 0104,OBSTETRICIA,PARTO 6,Materno-infantil,2024-01-01,
000105,ODONTOLOGIA 0105,ODONTOLOGIA,ODONTO 7,Odontologico,2024-01-01,
000106,CONSULTAS 0106,CONSULTAS,ATENDIMENTO 8,Atendimento,2024-01-01,
000107,EXAMES 0107,EXAMES,DIAGNOSTICO 9,Diagnostico,2024-01-01,
000108,TERAPIAS 0108,TERAPIAS,REABILITACAO 1,Terapia,2024-01-01,
000109,CIRURGIAS 0109,CIRURGIAS,PROCEDIMENTOS 2,Procedimento,2024-01-01,
000110,INTERNACOES 0110,INTERNACOES,HOSPITALAR 3,Hospitalar,2024-01-01,
000111,OBSTETRICIA 0111,OBSTETRICIA,PARTO 4,Materno-infantil,2024-01-01,
000112,ODONTOLOGIA 0112,ODONTOLOGIA,ODONTO 5,Odontologico,2024-01-01,
000113,CONSULTAS 0113,CONSULTAS,ATENDIMENTO 6,Atendimento,2024-01-01,
000114,EXAMES 0114,EXAMES,DIAGNOSTICO 7,Diagnostico,2024-01-01,
000115,TERAPIAS 0115,TERAPIAS,REABILITACAO 8,Terapia,2024-01-01,
000116,CIRURGIAS 0116,CIRURGIAS,PROCEDIMENTOS 9,Procedimento,2024-01-01,
000117,INTERNACOES 0117,INTERNACOES,HOSPITALAR 1,Hospitalar,2024-01-01,
000118,OBSTETRICIA 0118,OBSTETRICIA,PARTO 2,Materno-infantil,2024-01-01,
000119,ODONTOLOGIA 0119,ODONTOLOGIA,ODONTO 3,Odontologico,2024-01-01,
000120,CONSULTAS 0120,CONSULTAS,ATENDIMENTO 4,Atendimento,2024-01-01,
000121,EXAMES 0121,EXAMES,DIAGNOSTICO 5,Diagnostico,2024-01-01,
000122,TERAPIAS 0122,TERAPIAS,REABILITACAO 6,Terapia,2024-01-01,
000123,CIRURGIAS 0123,CIRURGIAS,PROCEDIMENTOS 7,Procedimento,2024-01-01,
000124,INTERNACOES 0124,INTERNACOES,HOSPITALAR 8,Hospitalar,2024-01-01,
000125,OBSTETRICIA 0125,OBSTETRICIA,PARTO 9,Materno-infantil,2024-01-01,
000126,ODONTOLOGIA 0126,ODONTOLOGIA,ODONTO 1,Odontologico,2024-01-01,
000127,CONSULTAS 0127,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000128,EXAMES 0128,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000129,TERAPIAS 0129,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000130,CIRURGIAS 0130,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000131,INTERNACOES 0131,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000132,OBSTETRICIA 0132,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000133,ODONTOLOGIA 0133,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000134,CONSULTAS 0134,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000135,EXAMES 0135,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000136,TERAPIAS 0136,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000137,CIRURGIAS 0137,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000138,INTERNACOES 0138,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000139,OBSTETRICIA 0139,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000140,ODONTOLOGIA 0140,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000141,CONSULTAS 0141,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000142,EXAMES 0142,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000143,TERAPIAS 0143,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000144,CIRURGIAS 0144,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000145,INTERNACOES 0145,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000146,OBSTETRICIA 0146,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000147,ODONTOLOGIA 0147,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000148,CONSULTAS 0148,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000149,EXAMES 0149,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000150,TERAPIAS 0150,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000151,CIRURGIAS 0151,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000152,INTERNACOES 0152,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000153,OBSTETRICIA 0153,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000154,ODONTOLOGIA 0154,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000155,CONSULTAS 0155,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000156,EXAMES 0156,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000157,TERAPIAS 0157,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000158,CIRURGIAS 0158,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000159,INTERNACOES 0159,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000160,OBSTETRICIA 0160,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000161,ODONTOLOGIA 0161,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000162,CONSULTAS 0162,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000163,EXAMES 0163,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000164,TERAPIAS 0164,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000165,CIRURGIAS 0165,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
000166,INTERNACOES 0166,INTERNACOES,HOSPITALAR 5,Hospitalar,2024-01-01,
000167,OBSTETRICIA 0167,OBSTETRICIA,PARTO 6,Materno-infantil,2024-01-01,
000168,ODONTOLOGIA 0168,ODONTOLOGIA,ODONTO 7,Odontologico,2024-01-01,
000169,CONSULTAS 0169,CONSULTAS,ATENDIMENTO 8,Atendimento,2024-01-01,
000170,EXAMES 0170,EXAMES,DIAGNOSTICO 9,Diagnostico,2024-01-01,
000171,TERAPIAS 0171,TERAPIAS,REABILITACAO 1,Terapia,2024-01-01,
000172,CIRURGIAS 0172,CIRURGIAS,PROCEDIMENTOS 2,Procedimento,2024-01-01,
000173,INTERNACOES 0173,INTERNACOES,HOSPITALAR 3,Hospitalar,2024-01-01,
000174,OBSTETRICIA 0174,OBSTETRICIA,PARTO 4,Materno-infantil,2024-01-01,
000175,ODONTOLOGIA 0175,ODONTOLOGIA,ODONTO 5,Odontologico,2024-01-01,
000176,CONSULTAS 0176,CONSULTAS,ATENDIMENTO 6,Atendimento,2024-01-01,
000177,EXAMES 0177,EXAMES,DIAGNOSTICO 7,Diagnostico,2024-01-01,
000178,TERAPIAS 0178,TERAPIAS,REABILITACAO 8,Terapia,2024-01-01,
000179,CIRURGIAS 0179,CIRURGIAS,PROCEDIMENTOS 9,Procedimento,2024-01-01,
000180,INTERNACOES 0180,INTERNACOES,HOSPITALAR 1,Hospitalar,2024-01-01,
000181,OBSTETRICIA 0181,OBSTETRICIA,PARTO 2,Materno-infantil,2024-01-01,
000182,ODONTOLOGIA 0182,ODONTOLOGIA,ODONTO 3,Odontologico,2024-01-01,
000183,CONSULTAS 0183,CONSULTAS,ATENDIMENTO 4,Atendimento,2024-01-01,
000184,EXAMES 0184,EXAMES,DIAGNOSTICO 5,Diagnostico,2024-01-01,
000185,TERAPIAS 0185,TERAPIAS,REABILITACAO 6,Terapia,2024-01-01,
000186,CIRURGIAS 0186,CIRURGIAS,PROCEDIMENTOS 7,Procedimento,2024-01-01,
000187,INTERNACOES 0187,INTERNACOES,HOSPITALAR 8,Hospitalar,2024-01-01,
000188,OBSTETRICIA 0188,OBSTETRICIA,PARTO 9,Materno-infantil,2024-01-01,
000189,ODONTOLOGIA 0189,ODONTOLOGIA,ODONTO 1,Odontologico,2024-01-01,
000190,CONSULTAS 0190,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000191,EXAMES 0191,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000192,TERAPIAS 0192,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000193,CIRURGIAS 0193,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000194,INTERNACOES 0194,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000195,OBSTETRICIA 0195,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000196,ODONTOLOGIA 0196,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000197,CONSULTAS 0197,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000198,EXAMES 0198,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000199,TERAPIAS 0199,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000200,CIRURGIAS 0200,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000201,INTERNACOES 0201,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000202,OBSTETRICIA 0202,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000203,ODONTOLOGIA 0203,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000204,CONSULTAS 0204,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000205,EXAMES 0205,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000206,TERAPIAS 0206,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000207,CIRURGIAS 0207,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000208,INTERNACOES 0208,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000209,OBSTETRICIA 0209,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000210,ODONTOLOGIA 0210,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000211,CONSULTAS 0211,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000212,EXAMES 0212,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000213,TERAPIAS 0213,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000214,CIRURGIAS 0214,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000215,INTERNACOES 0215,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000216,OBSTETRICIA 0216,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000217,ODONTOLOGIA 0217,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000218,CONSULTAS 0218,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000219,EXAMES 0219,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000220,TERAPIAS 0220,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000221,CIRURGIAS 0221,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000222,INTERNACOES 0222,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000223,OBSTETRICIA 0223,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000224,ODONTOLOGIA 0224,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000225,CONSULTAS 0225,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000226,EXAMES 0226,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000227,TERAPIAS 0227,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000228,CIRURGIAS 0228,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
000229,INTERNACOES 0229,INTERNACOES,HOSPITALAR 5,Hospitalar,2024-01-01,
000230,OBSTETRICIA 0230,OBSTETRICIA,PARTO 6,Materno-infantil,2024-01-01,
000231,ODONTOLOGIA 0231,ODONTOLOGIA,ODONTO 7,Odontologico,2024-01-01,
000232,CONSULTAS 0232,CONSULTAS,ATENDIMENTO 8,Atendimento,2024-01-01,
000233,EXAMES 0233,EXAMES,DIAGNOSTICO 9,Diagnostico,2024-01-01,
000234,TERAPIAS 0234,TERAPIAS,REABILITACAO 1,Terapia,2024-01-01,
000235,CIRURGIAS 0235,CIRURGIAS,PROCEDIMENTOS 2,Procedimento,2024-01-01,
000236,INTERNACOES 0236,INTERNACOES,HOSPITALAR 3,Hospitalar,2024-01-01,
000237,OBSTETRICIA 0237,OBSTETRICIA,PARTO 4,Materno-infantil,2024-01-01,
000238,ODONTOLOGIA 0238,ODONTOLOGIA,ODONTO 5,Odontologico,2024-01-01,
000239,CONSULTAS 0239,CONSULTAS,ATENDIMENTO 6,Atendimento,2024-01-01,
000240,EXAMES 0240,EXAMES,DIAGNOSTICO 7,Diagnostico,2024-01-01,
000241,TERAPIAS 0241,TERAPIAS,REABILITACAO 8,Terapia,2024-01-01,
000242,CIRURGIAS 0242,CIRURGIAS,PROCEDIMENTOS 9,Procedimento,2024-01-01,
000243,INTERNACOES 0243,INTERNACOES,HOSPITALAR 1,Hospitalar,2024-01-01,
000244,OBSTETRICIA 0244,OBSTETRICIA,PARTO 2,Materno-infantil,2024-01-01,
000245,ODONTOLOGIA 0245,ODONTOLOGIA,ODONTO 3,Odontologico,2024-01-01,
000246,CONSULTAS 0246,CONSULTAS,ATENDIMENTO 4,Atendimento,2024-01-01,
000247,EXAMES 0247,EXAMES,DIAGNOSTICO 5,Diagnostico,2024-01-01,
000248,TERAPIAS 0248,TERAPIAS,REABILITACAO 6,Terapia,2024-01-01,
000249,CIRURGIAS 0249,CIRURGIAS,PROCEDIMENTOS 7,Procedimento,2024-01-01,
000250,INTERNACOES 0250,INTERNACOES,HOSPITALAR 8,Hospitalar,2024-01-01,
000251,OBSTETRICIA 0251,OBSTETRICIA,PARTO 9,Materno-infantil,2024-01-01,
000252,ODONTOLOGIA 0252,ODONTOLOGIA,ODONTO 1,Odontologico,2024-01-01,
000253,CONSULTAS 0253,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000254,EXAMES 0254,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000255,TERAPIAS 0255,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000256,CIRURGIAS 0256,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000257,INTERNACOES 0257,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000258,OBSTETRICIA 0258,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000259,ODONTOLOGIA 0259,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000260,CONSULTAS 0260,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000261,EXAMES 0261,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000262,TERAPIAS 0262,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000263,CIRURGIAS 0263,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000264,INTERNACOES 0264,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000265,OBSTETRICIA 0265,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000266,ODONTOLOGIA 0266,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000267,CONSULTAS 0267,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000268,EXAMES 0268,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000269,TERAPIAS 0269,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000270,CIRURGIAS 0270,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000271,INTERNACOES 0271,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000272,OBSTETRICIA 0272,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000273,ODONTOLOGIA 0273,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000274,CONSULTAS 0274,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000275,EXAMES 0275,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000276,TERAPIAS 0276,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000277,CIRURGIAS 0277,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000278,INTERNACOES 0278,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000279,OBSTETRICIA 0279,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000280,ODONTOLOGIA 0280,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000281,CONSULTAS 0281,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000282,EXAMES 0282,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000283,TERAPIAS 0283,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000284,CIRURGIAS 0284,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000285,INTERNACOES 0285,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000286,OBSTETRICIA 0286,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000287,ODONTOLOGIA 0287,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000288,CONSULTAS 0288,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
