codigo_tuss,descricao,segmento,obrigatorio_medico,obrigatorio_odonto,carencia_dias,vigencia_inicio,vigencia_fim
000108,TERAPIAS 0108,ODONTO,NAO,NAO,180,2024-01-01,
000109,CIRURGIAS 0109,MEDICO,SIM,NAO,30,2024-01-01,
000110,INTERNACOES 0110,MEDICO,NAO,SIM,30,2024-01-01,
000111,OBSTETRICIA 0111,ODONTO,SIM,NAO,30,2024-01-01,
000112,ODONTOLOGIA 0112,MEDICO,NAO,NAO,180,2024-01-01,
000113,CONSULTAS 0113,MEDICO,SIM,NAO,30,2024-01-01,
000114,EXAMES 0114,ODONTO,NAO,NAO,30,2024-01-01,
000115,TERAPIAS 0115,MEDICO,SIM,SIM,30,2024-01-01,
000116,CIRURGIAS 0116,MEDICO,NAO,NAO,180,2024-01-01,
000117,INTERNACOES 0117,ODONTO,SIM,NAO,30,2024-01-01,
000118,OBSTETRICIA 0118,MEDICO,NAO,NAO,30,2024-01-01,
000119,ODONTOLOGIA 0119,MEDICO,SIM,NAO,30,2024-01-01,
000120,CONSULTAS 0120,ODONTO,NAO,SIM,180,2024-01-01,
000121,EXAMES 0121,MEDICO,SIM,NAO,30,2024-01-01,
000122,TERAPIAS 0122,MEDICO,NAO,NAO,30,2024-01-01,
000123,CIRURGIAS 0123,ODONTO,SIM,NAO,30,2024-01-01,
000124,INTERNACOES 0124,MEDICO,NAO,NAO,180,2024-01-01,
000125,OBSTETRICIA 0125,MEDICO,SIM,SIM,30,2024-01-01,
000126,ODONTOLOGIA 0126,ODONTO,NAO,NAO,30,2024-01-01,
000127,CONSULTAS 0127,MEDICO,SIM,NAO,30,2024-01-01,
000128,EXAMES 0128,MEDICO,NAO,NAO,180,2024-01-01,
000129,TERAPIAS 0129,ODONTO,SIM,NAO,30,2024-01-01,
000130,CIRURGIAS 0130,MEDICO,NAO,SIM,30,2024-01-01,
000131,INTERNACOES 0131,MEDICO,SIM,NAO,30,2024-01-01,
000132,OBSTETRICIA 0132,ODONTO,NAO,NAO,180,2024-01-01,
000133,ODONTOLOGIA 0133,MEDICO,SIM,NAO,30,2024-01-01,
000134,CONSULTAS 0134,MEDICO,NAO,NAO,30,2024-01-01,
000135,EXAMES 0135,ODONTO,SIM,SIM,30,2024-01-01,
000136,TERAPIAS 0136,MEDICO,NAO,NAO,180,2024-01-01,
000137,CIRURGIAS 0137,MEDICO,SIM,NAO,30,2024-01-01,
000138,INTERNACOES 0138,ODONTO,NAO,NAO,30,2024-01-01,
000139,OBSTETRICIA 0139,MEDICO,SIM,NAO,30,2024-01-01,
000140,ODONTOLOGIA 0140,MEDICO,NAO,SIM,180,2024-01-01,
000141,CONSULTAS 0141,ODONTO,SIM,NAO,30,2024-01-01,
000142,EXAMES 0142,MEDICO,NAO,NAO,30,2024-01-01,
000143,TERAPIAS 0143,MEDICO,SIM,NAO,30,2024-01-01,
000144,CIRURGIAS 0144,ODONTO,NAO,NAO,180,2024-01-01,
000145,INTERNACOES 0145,MEDICO,SIM,SIM,30,2024-01-01,
000146,OBSTETRICIA 0146,MEDICO,NAO,NAO,30,2024-01-01,
000147,ODONTOLOGIA 0147,ODONTO,SIM,NAO,30,2024-01-01,
000148,CONSULTAS 0148,MEDICO,NAO,NAO,180,2024-01-01,
000149,EXAMES 0149,MEDICO,SIM,NAO,30,2024-01-01,
000150,TERAPIAS 0150,ODONTO,NAO,SIM,30,2024-01-01,
000151,CIRURGIAS 0151,MEDICO,SIM,NAO,30,2024-01-01,
000152,INTERNACOES 0152,MEDICO,NAO,NAO,180,2024-01-01,
000153,OBSTETRICIA 0153,ODONTO,SIM,NAO,30,2024-01-01,
000154,ODONTOLOGIA 0154,MEDICO,NAO,NAO,30,2024-01-01,
000155,CONSULTAS 0155,MEDICO,SIM,SIM,30,2024-01-01,
000156,EXAMES 0156,ODONTO,NAO,NAO,180,2024-01-01,
000157,TERAPIAS 0157,MEDICO,SIM,NAO,30,2024-01-01,
000158,CIRURGIAS 0158,MEDICO,NAO,NAO,30,2024-01-01,
000159,INTERNACOES 0159,ODONTO,SIM,NAO,30,2024-01-01,
000160,OBSTETRICIA 0160,MEDICO,NAO,SIM,180,2024-01-01,
000161,ODONTOLOGIA 0161,MEDICO,SIM,NAO,30,2024-01-01,
000162,CONSULTAS 0162,ODONTO,NAO,NAO,30,2024-01-01,
000163,EXAMES 0163,MEDICO,SIM,NAO,30,2024-01-01,
000164,TERAPIAS 0164,MEDICO,NAO,NAO,180,2024-01-01,
000165,CIRURGIAS 0165,ODONTO,SIM,SIM,30,2024-01-01,
000166,INTERNACOES 0166,MEDICO,NAO,NAO,30,2024-01-01,
000167,OBSTETRICIA 0167,MEDICO,SIM,NAO,30,2024-01-01,
000168,ODONTOLOGIA 0168,ODONTO,NAO,NAO,180,2024-01-01,
000169,CONSULTAS 0169,MEDICO,SIM,NAO,30,2024-01-01,
000170,EXAMES 0170,MEDICO,NAO,SIM,30,2024-01-01,
000171,TERAPIAS 0171,ODONTO,SIM,NAO,30,2024-01-01,
000172,CIRURGIAS 0172,MEDICO,NAO,NAO,180,2024-01-01,
000173,INTERNACOES 0173,MEDICO,SIM,NAO,30,2024-01-01,
000174,OBSTETRICIA 0174,ODONTO,NAO,NAO,30,2024-01-01,
000175,ODONTOLOGIA 0175,MEDICO,SIM,SIM,30,2024-01-01,
000176,CONSULTAS 0176,MEDICO,NAO,NAO,180,2024-01-01,
000177,EXAMES 0177,ODONTO,SIM,NAO,30,2024-01-01,
000178,TERAPIAS 0178,MEDICO,NAO,NAO,30,2024-01-01,
000179,CIRURGIAS 0179,MEDICO,SIM,NAO,30,2024-01-01,
000180,INTERNACOES 0180,ODONTO,NAO,SIM,180,2024-01-01,
000181,OBSTETRICIA 0181,MEDICO,SIM,NAO,30,2024-01-01,
000182,ODONTOLOGIA 0182,MEDICO,NAO,NAO,30,2024-01-01,
000183,CONSULTAS 0183,ODONTO,SIM,NAO,30,2024-01-01,
000184,EXAMES 0184,MEDICO,NAO,NAO,180,2024-01-01,
000185,TERAPIAS 0185,MEDICO,SIM,SIM,30,2024-01-01,
000186,CIRURGIAS 0186,ODONTO,NAO,NAO,30,2024-01-01,
000187,INTERNACOES 0187,MEDICO,SIM,NAO,30,2024-01-01,
000188,OBSTETRICIA 0188,MEDICO,NAO,NAO,180,2024-01-01,
000189,ODONTOLOGIA 0189,ODONTO,SIM,NAO,30,2024-01-01,
000190,CONSULTAS 0190,MEDICO,NAO,SIM,30,2024-01-01,
000191,EXAMES 0191,MEDICO,SIM,NAO,30,2024-01-01,
000192,TERAPIAS 0192,ODONTO,NAO,NAO,180,2024-01-01,
000193,CIRURGIAS 0193,MEDICO,SIM,NAO,30,2024-01-01,
000194,INTERNACOES 0194,MEDICO,NAO,NAO,30,2024-01-01,
000195,OBSTETRICIA 0195,ODONTO,SIM,SIM,30,2024-01-01,
000196,ODONTOLOGIA 0196,MEDICO,NAO,NAO,180,2024-01-01,
000197,CONSULTAS 0197,MEDICO,SIM,NAO,30,2024-01-01,
000198,EXAMES 0198,ODONTO,NAO,NAO,30,2024-01-01,
000199,TERAPIAS 0199,MEDICO,SIM,NAO,30,2024-01-01,
000200,CIRURGIAS 0200,MEDICO,NAO,SIM,180,2024-01-01,
000201,INTERNACOES 0201,ODONTO,SIM,NAO,30,2024-01-01,
000202,OBSTETRICIA 0202,MEDICO,NAO,NAO,30,2024-01-01,
000203,ODONTOLOGIA 0203,MEDICO,SIM,NAO,30,2024-01-01,
000204,CONSULTAS 0204,ODONTO,NAO,NAO,180,2024-01-01,
000205,EXAMES 0205,MEDICO,SIM,SIM,30,2024-01-01,
000206,TERAPIAS 0206,MEDICO,NAO,NAO,30,2024-01-01,
000207,CIRURGIAS 0207,ODONTO,SIM,NAO,30,2024-01-01,
000208,INTERNACOES 0208,MEDICO,NAO,NAO,180,2024-01-01,
000209,OBSTETRICIA 0209,MEDICO,SIM,NAO,30,2024-01-01,
000210,ODONTOLOGIA 0210,ODONTO,NAO,SIM,30,2024-01-01,
000211,CONSULTAS 0211,MEDICO,SIM,NAO,30,2024-01-01,
000212,EXAMES 0212,MEDICO,NAO,NAO,180,2024-01-01,
000213,TERAPIAS 0213,ODONTO,SIM,NAO,30,2024-01-01,
000214,CIRURGIAS 0214,MEDICO,NAO,NAO,30,2024-01-01,
000215,INTERNACOES 0215,MEDICO,SIM,SIM,30,2024-01-01,
000216,OBSTETRICIA 0216,ODONTO,NAO,NAO,180,2024-01-01,
000217,ODONTOLOGIA 0217,MEDICO,SIM,NAO,30,2024-01-01,
000218,CONSULTAS 0218,MEDICO,NAO,NAO,30,2024-01-01,
000219,EXAMES 0219,ODONTO,SIM,NAO,30,2024-01-01,
000220,TERAPIAS 0220,MEDICO,NAO,SIM,180,2024-01-01,
000221,CIRURGIAS 0221,MEDICO,SIM,NAO,30,2024-01-01,
000222,INTERNACOES 0222,ODONTO,NAO,NAO,30,2024-01-01,
000223,OBSTETRICIA 0223,MEDICO,SIM,NAO,30,2024-01-01,
000224,ODONTOLOGIA 0224,MEDICO,NAO,NAO,180,2024-01-01,
000225,CONSULTAS 0225,ODONTO,SIM,SIM,30,2024-01-01,
000226,EXAMES 0226,MEDICO,NAO,NAO,30,2024-01-01,
000227,TERAPIAS 0227,MEDICO,SIM,NAO,30,2024-01-01,
000228,CIRURGIAS 0228,ODONTO,NAO,NAO,180,2024-01-01,
000229,INTERNACOES 0229,MEDICO,SIM,NAO,30,2024-01-01,
000230,OBSTETRICIA 0230,MEDICO,NAO,SIM,30,2024-01-01,
000231,ODONTOLOGIA 0231,ODONTO,SIM,NAO,30,2024-01-01,
000232,CONSULTAS 0232,MEDICO,NAO,NAO,180,2024-01-01,
000233,EXAMES 0233,MEDICO,SIM,NAO,30,2024-01-01,
000234,TERAPIAS 0234,ODONTO,NAO,NAO,30,2024-01-01,
000235,CIRURGIAS 0235,MEDICO,SIM,SIM,30,2024-01-01,
000236,INTERNACOES 0236,MEDICO,NAO,NAO,180,2024-01-01,
000237,OBSTETRICIA 0237,ODONTO,SIM,NAO,30,2024-01-01,
000238,ODONTOLOGIA 0238,MEDICO,NAO,NAO,30,2024-01-01,
000239,CONSULTAS 0239,MEDICO,SIM,NAO,30,2024-01-01,
000240,EXAMES 0240,ODONTO,NAO,SIM,180,2024-01-01,
000241,TERAPIAS 0241,MEDICO,SIM,NAO,30,2024-01-01,
000242,CIRURGIAS 0242,MEDICO,NAO,NAO,30,2024-01-01,
000243,INTERNACOES 0243,ODONTO,SIM,NAO,30,2024-01-01,
000244,OBSTETRICIA 0244,MEDICO,NAO,NAO,180,2024-01-01,
000245,ODONTOLOGIA 0245,MEDICO,SIM,SIM,30,2024-01-01,
000246,CONSULTAS 0246,ODONTO,NAO,NAO,30,2024-01-01,
000247,EXAMES 0247,MEDICO,SIM,NAO,30,2024-01-01,
000248,TERAPIAS 0248,MEDICO,NAO,NAO,180,2024-01-01,
000249,CIRURGIAS 0249,ODONTO,SIM,NAO,30,2024-01-01,
000250,INTERNACOES 0250,MEDICO,NAO,SIM,30,2024-01-01,
000251,OBSTETRICIA 0251,MEDICO,SIM,NAO,30,2024-01-01,
000252,ODONTOLOGIA 0252,ODONTO,NAO,NAO,180,2024-01-01,
000253,CONSULTAS 0253,MEDICO,SIM,NAO,30,2024-01-01,
000254,EXAMES 0254,MEDICO,NAO,NAO,30,2024-01-01,
000255,TERAPIAS 0255,ODONTO,SIM,SIM,30,2024-01-01,
000256,CIRURGIAS 0256,MEDICO,NAO,NAO,180,2024-01-01,
000257,INTERNACOES 0257,MEDICO,SIM,NAO,30,2024-01-01,
000258,OBSTETRICIA 0258,ODONTO,NAO,NAO,30,2024-01-01,
000259,ODONTOLOGIA 0259,MEDICO,SIM,NAO,30,2024-01-01,
000260,CONSULTAS 0260,MEDICO,NAO,SIM,180,2024-01-01,
000261,EXAMES 0261,ODONTO,SIM,NAO,30,2024-01-01,
000262,TERAPIAS 0262,MEDICO,NAO,NAO,30,2024-01-01,
000263,CIRURGIAS 0263,MEDICO,SIM,NAO,30,2024-01-01,
000264,INTERNACOES 0264,ODONTO,NAO,NAO,180,2024-01-01,
000265,OBSTETRICIA 0265,MEDICO,SIM,SIM,30,2024-01-01,
000266,ODONTOLOGIA 0266,MEDICO,NAO,NAO,30,2024-01-01,
000267,CONSULTAS 0267,ODONTO,SIM,NAO,30,2024-01-01,
000268,EXAMES 0268,MEDICO,NAO,NAO,180,2024-01-01,
000269,TERAPIAS 0269,MEDICO,SIM,NAO,30,2024-01-01,
000270,CIRURGIAS 0270,ODONTO,NAO,SIM,30,2024-01-01,
000271,INTERNACOES 0271,MEDICO,SIM,NAO,30,2024-01-01,
000272,OBSTETRICIA 0272,MEDICO,NAO,NAO,180,2024-01-01,
000273,ODONTOLOGIA 0273,ODONTO,SIM,NAO,30,2024-01-01,
000274,CONSULTAS 0274,MEDICO,NAO,NAO,30,2024-01-01,
000275,EXAMES 0275,MEDICO,SIM,SIM,30,2024-01-01,
000276,TERAPIAS 0276,ODONTO,NAO,NAO,180,2024-01-01,
000277,CIRURGIAS 0277,MEDICO,SIM,NAO,30,2024-01-01,
000278,INTERNACOES 0278,MEDICO,NAO,NAO,30,2024-01-01,
000279,OBSTETRICIA 0279,ODONTO,SIM,NAO,30,2024-01-01,
000280,ODONTOLOGIA 0280,MEDICO,NAO,SIM,180,2024-01-01,
000281,CONSULTAS 0281,MEDICO,SIM,NAO,30,2024-01-01,
000282,EXAMES 0282,ODONTO,NAO,NAO,30,2024-01-01,
000283,TERAPIAS 0283,MEDICO,SIM,NAO,30,2024-01-01,
000284,CIRURGIAS 0284,MEDICO,NAO,NAO,180,2024-01-01,
000285,INTERNACOES 0285,ODONTO,SIM,SIM,30,2024-01-01,
000286,OBSTETRICIA 0286,MEDICO,NAO,NAO,30,2024-01-01,
000287,ODONTOLOGIA 0287,MEDICO,SIM,NAO,30,2024-01-01,
000288,CONSULTAS 0288,ODONTO,NAO,NAO,180,2024-01-01,
000289,EXAMES 0289,MEDICO,SIM,NAO,30,2024-01-01,
000290,TERAPIAS 0290,MEDICO,NAO,SIM,30,2024-01-01,
000291,CIRURGIAS 0291,ODONTO,SIM,NAO,30,2024-01-01,
000292,INTERNACOES 0292,MEDICO,NAO,NAO,180,2024-01-01,
000293,OBSTETRICIA 0293,MEDICO,SIM,NAO,30,2024-01-01,
000294,ODONTOLOGIA 0294,ODONTO,NAO,NAO,30,2024-01-01,
000295,CONSULTAS 0295,MEDICO,SIM,SIM,30,2024-01-01,
000296,EXAMES 0296,MEDICO,NAO,NAO,180,2024-01-01,
000297,TERAPIAS 0297,ODONTO,SIM,NAO,30,2024-01-01,
000298,CIRURGIAS 0298,MEDICO,NAO,NAO,30,2024-01-01,
000299,INTERNACOES 0299,MEDICO,SIM,NAO,30,2024-01-01,
000300,OBSTETRICIA 0300,ODONTO,NAO,SIM,180,2024-01-01,
000301,ODONTOLOGIA 0301,MEDICO,SIM,NAO,30,2024-01-01,
000302,CONSULTAS 0302,MEDICO,NAO,NAO,30,2024-01-01,
000303,EXAMES 0303,ODONTO,SIM,NAO,30,2024-01-01,
000304,TERAPIAS 0304,MEDICO,NAO,NAO,180,2024-01-01,
000305,CIRURGIAS 0305,MEDICO,SIM,SIM,30,2024-01-01,
000306,INTERNACOES 0306,ODONTO,NAO,NAO,30,2024-01-01,
000307,OBSTETRICIA 0307,MEDICO,SIM,NAO,30,2024-01-01,
000308,ODONTOLOGIA 0308,MEDICO,NAO,NAO,180,2024-01-01,
000309,CONSULTAS 0309,ODONTO,SIM,NAO,30,2024-01-01,
000310,EXAMES 0310,MEDICO,NAO,SIM,30,2024-01-01,
000311,TERAPIAS 0311,MEDICO,SIM,NAO,30,2024-01-01,
000312,CIRURGIAS 0312,ODONTO,NAO,NAO,180,2024-01-01,
000313,INTERNACOES 0313,MEDICO,SIM,NAO,30,2024-01-01,
000314,OBSTETRICIA 0314,MEDICO,NAO,NAO,30,2024-01-01,
000315,ODONTOLOGIA 0315,ODONTO,SIM,SIM,30,2024-01-01,
000316,CONSULTAS 0316,MEDICO,NAO,NAO,180,2024-01-01,
000317,EXAMES 0317,MEDICO,SIM,NAO,30,2024-01-01,
000318,TERAPIAS 0318,ODONTO,NAO,NAO,30,2024-01-01,
000319,CIRURGIAS 0319,MEDICO,SIM,NAO,30,2024-01-01,
000320,INTERNACOES 0320,MEDICO,NAO,SIM,180,2024-01-01,
000321,OBSTETRICIA 0321,ODONTO,SIM,NAO,30,2024-01-01,
000322,ODONTOLOGIA 0322,MEDICO,NAO,NAO,30,2024-01-01,
000323,CONSULTAS 0323,MEDICO,SIM,NAO,30,2024-01-01,
000324,EXAMES 0324,ODONTO,NAO,NAO,180,2024-01-01,
000325,TERAPIAS 0325,MEDICO,SIM,SIM,30,2024-01-01,
000326,CIRURGIAS 0326,MEDICO,NAO,NAO,30,2024-01-01,
000327,INTERNACOES 0327,ODONTO,SIM,NAO,30,2024-01-01,
000328,OBSTETRICIA 0328,MEDICO,NAO,NAO,180,2024-01-01,
000329,ODONTOLOGIA 0329,MEDICO,SIM,NAO,30,2024-01-01,
000330,CONSULTAS 0330,ODONTO,NAO,SIM,30,2024-01-01,
000331,EXAMES 0331,MEDICO,SIM,NAO,30,2024-01-01,
000332,TERAPIAS 0332,MEDICO,NAO,NAO,180,2024-01-01,
000333,CIRURGIAS 0333,ODONTO,SIM,NAO,30,2024-01-01,
000334,INTERNACOES 0334,MEDICO,NAO,NAO,30,2024-01-01,
000335,OBSTETRICIA 0335,MEDICO,SIM,SIM,30,2024-01-01,
000336,ODONTOLOGIA 0336,ODONTO,NAO,NAO,180,2024-01-01,
000337,CONSULTAS 0337,MEDICO,SIM,NAO,30,2024-01-01,
000338,EXAMES 0338,MEDICO,NAO,NAO,30,2024-01-01,
000339,TERAPIAS 0339,ODONTO,SIM,NAO,30,2024-01-01,
000340,CIRURGIAS 0340,MEDICO,NAO,SIM,180,2024-01-01,
000341,INTERNACOES 0341,MEDICO,SIM,NAO,30,2024-01-01,
000342,OBSTETRICIA 0342,ODONTO,NAO,NAO,30,2024-01-01,
000343,ODONTOLOGIA 0343,MEDICO,SIM,NAO,30,2024-01-01,
000344,CONSULTAS 0344,MEDICO,NAO,NAO,180,2024-01-01,
000345,EXAMES 0345,ODONTO,SIM,SIM,30,2024-01-01,
000346,TERAPIAS 0346,MEDICO,NAO,NAO,30,2024-01-01,
000347,CIRURGIAS 0347,MEDICO,SIM,NAO,30,2024-01-01,
000348,INTERNACOES 0348,ODONTO,NAO,NAO,180,2024-01-01,
000349,OBSTETRICIA 0349,MEDICO,SIM,NAO,30,2024-01-01,
000350,ODONTOLOGIA 0350,MEDICO,NAO,SIM,30,2024-01-01,
000351,CONSULTAS 0351,ODONTO,SIM,NAO,30,2024-01-01,
000352,EXAMES 0352,MEDICO,NAO,NAO,180,2024-01-01,
000353,TERAPIAS 0353,MEDICO,SIM,NAO,30,2024-01-01,
000354,CIRURGIAS 0354,ODONTO,NAO,NAO,30,2024-01-01,
000355,INTERNACOES 0355,MEDICO,SIM,SIM,30,2024-01-01,
000356,OBSTETRICIA 0356,MEDICO,NAO,NAO,180,2024-01-01,
000357,ODONTOLOGIA 0357,ODONTO,SIM,NAO,30,2024-01-01,
000358,CONSULTAS 0358,MEDICO,NAO,NAO,30,2024-01-01,
000359,EXAMES 0359,MEDICO,SIM,NAO,30,2024-01-01,
